community 0
order,index,name,u_value,percetage(%)
1,12,27,0.0977336321424,9.77336321424
2,21,58,0.0890052473959,8.90052473959
3,61,219,0.0619652798235,6.19652798235
4,91,399,0.0564332611929,5.64332611929
5,72,271,0.0562336022696,5.62336022696
6,69,252,0.0558164585949,5.58164585949
7,113,835,0.0467101106505,4.67101106505
8,37,120,0.0447990363615,4.47990363615
9,70,253,0.0387511332256,3.87511332256
10,146,1338,0.0355870728123,3.55870728123
11,75,286,0.0342268742496,3.42268742496
12,77,294,0.033682897563,3.3682897563
13,88,374,0.028322185741,2.8322185741
14,102,516,0.0272332880168,2.72332880168
15,124,1151,0.0262774895026,2.62774895026
16,121,1139,0.0246637962145,2.46637962145
17,25,72,0.0210174784878,2.10174784878
18,140,1296,0.015270853068,1.5270853068
19,15,41,0.0119659392829,1.19659392829
20,19,53,0.0112107167647,1.12107167647
21,6,12,0.0106704423432,1.06704423432
22,144,1308,0.00998605840393,0.998605840393
23,104,570,0.0097548733264,0.97548733264
24,1,6,0.00941453191969,0.941453191969
25,3,8,0.00860012734747,0.860012734747
26,50,172,0.00858406728164,0.858406728164
27,161,1426,0.00649689884327,0.649689884327
28,106,623,0.00629493058494,0.629493058494
29,71,265,0.005576821688,0.5576821688
30,2,7,0.00460031202474,0.460031202474
31,160,1421,0.00421673302954,0.421673302954
32,175,1489,0.00391591821867,0.391591821867
33,9,19,0.00378273480374,0.378273480374
34,7,13,0.00368108682684,0.368108682684
35,98,465,0.00297802465202,0.297802465202
36,167,1454,0.00290114960835,0.290114960835
37,137,1284,0.00287791146944,0.287791146944
38,177,1491,0.0023087243547,0.23087243547
39,99,481,0.00222678091138,0.222678091138
40,183,1527,0.00219148859008,0.219148859008
41,51,181,0.00208344161507,0.208344161507
42,78,304,0.0019285365136,0.19285365136
43,8,16,0.0018805277326,0.18805277326
44,89,375,0.00179818538016,0.179818538016
45,184,1534,0.00177811022862,0.177811022862
46,107,629,0.00177809518609,0.177809518609
47,34,107,0.00172488475877,0.172488475877
48,151,1367,0.00170228223662,0.170228223662
49,28,90,0.00162704394742,0.162704394742
50,63,226,0.00158532204099,0.158532204099
51,46,154,0.00148983910681,0.148983910681
52,156,1399,0.00148239471986,0.148239471986
53,108,631,0.00141821436455,0.141821436455
54,142,1300,0.00139725985491,0.139725985491
55,38,121,0.0013713686541,0.13713686541
56,16,48,0.00130920782804,0.130920782804
57,93,424,0.00121303387571,0.121303387571
58,92,417,0.00117955875392,0.117955875392
59,126,1164,0.0011718605991,0.11718605991
60,82,337,0.00116155707321,0.116155707321
61,83,342,0.00108353190085,0.108353190085
62,76,292,0.00103911159421,0.103911159421
63,73,278,0.000956047132044,0.0956047132044
64,138,1288,0.000905312522085,0.0905312522085
65,65,228,0.000901028009618,0.0901028009618
66,14,40,0.000872595219487,0.0872595219487
67,115,1055,0.00087122214548,0.087122214548
68,103,519,0.000870988580127,0.0870988580127
69,5,10,0.000817427812321,0.0817427812321
70,58,200,0.000791224425938,0.0791224425938
71,172,1480,0.00078759236867,0.078759236867
72,173,1482,0.000767771019214,0.0767771019214
73,0,5,0.000763255253476,0.0763255253476
74,189,1549,0.000724235310242,0.0724235310242
75,155,1396,0.000713779253528,0.0713779253528
76,152,1368,0.000713502775143,0.0713502775143
77,114,941,0.000710195407418,0.0710195407418
78,132,1224,0.000709578981826,0.0709578981826
79,145,1337,0.000698592644345,0.0698592644345
80,110,695,0.00069281414111,0.069281414111
81,185,1540,0.000690914879444,0.0690914879444
82,188,1548,0.000688867533538,0.0688867533538
83,136,1283,0.000688007021685,0.0688007021685
84,68,244,0.000682412889684,0.0682412889684
85,190,1550,0.000676194774532,0.0676194774532
86,179,1500,0.000675851359618,0.0675851359618
87,127,1171,0.000668378063538,0.0668378063538
88,182,1518,0.000658975506508,0.0658975506508
89,186,1544,0.000651394354743,0.0651394354743
90,164,1434,0.00064175277734,0.064175277734
91,178,1494,0.000617829760877,0.0617829760877
92,150,1365,0.000586018724899,0.0586018724899
93,27,86,0.000583687226277,0.0583687226277
